caracteristica,evidencia,dado_observado,resultado,limitacao
Número de quartos,forte evidência de associação,"DADO OBSERVADO: 2q diaria 460-580 (723/183 airbnb), 3q 700-790 (1451/211), 4q 1075 (286, 60 com preço).","RESULTADO: receita 60% 2q 99k/125k < 3q 151k/170k < 4q 232k. Correlação quartos-receita = forte, mas preço compra sobe 1,07M→1,88M→3,6M (2q→3q +75%, 3q→4q +91%) mais que diária (+52% e +53%), então mais quartos aumenta receita mas com custo maior.","4q amostra pequena (60 com preço, 21% de 286) vs 3q robusto (327/1451). Quartos é proxy de área."
Bairro/localização,associação moderada,"DADO OBSERVADO: Meia Praia 600 (2602, 607 com preço) vs Centro 587 (548, 193) vs Morretes 500 (318, 68).","RESULTADO: receita 60% bairro isolado Meia Praia 129,6k > Centro 126,7k (+2,3%) > Morretes 108k. Diferença pequena (2,3%) com volume 4,7× maior, então Meia Praia vence por volume, não por diária muito maior. Dentro do mesmo q, Centro até tem diária maior (2q Centro 580 > 2q MP 460).","Bairros com <30 com preço (Tabuleiro 17, Casa Branca 13) excluídos corretamente; Centro vs Meia Praia é empate técnico com leve vantagem Meia Praia."
Área útil,forte evidência de associação,"DADO OBSERVADO Viva: faixas até70 (mediana área 60, preco 650k), 70-100 (85, 1,07M), 100-130 (118, 1,69M), 130-180 (145, 2,1M), >180 (210, 3,6M). Área correlacionada com quartos (2q 85m², 3q 129m², 4q 188m²) e com diária (corr ~0,98 nos 5 perfis: area 85→460, 129→700, 188→1075).","RESULTADO: imóveis maiores têm diária e receita maiores, mas preço/m² também sobe (12,9k→14,9k→18,5k).",Base Airbnb não tem usable_area (usamos Viva como proxy por perfil); faixas até70 tem poucos aptos (studio).
Preço de compra,associação moderada,"DADO OBSERVADO: 2q MP 1,07M (diária 460, receita 99k), 3q MP 1,88M (700, 151k), 4q MP 3,6M (1075, 232k).","RESULTADO: preço maior está associado a receita maior (correlação positiva), mas não proporcional: 2q→3q preço +75% gera receita +52% (99k→151k), 3q→4q preço +91% gera receita +53% (151k→232k) - ponto de retorno decrescente. Preço/m² sobe (12,9k→14,9k→18,5k), então imóvel mais caro não gera receita proporcional.","Viva e Base são por segmento, não por imóvel (sem correspondência individual)."
Diária histórica,forte evidência de associação,"DADO OBSERVADO: price_mediano mediana por segmento (460,700,1075,580,790).","RESULTADO: receita 60% = diária×216 (ex: 700×216=151.200). Correlação diária-receita = 1,00 por construção (fórmula). O padrão observado indica que diária é o driver direto da receita (com mesma ocupação), mas sem volume e sem preço de compra não explica 'melhor perfil econômico'.","Diária é histórica por anúncio (999/3710 com preço, 21-35% cobertura), não garantia futura; 60% é PREMISSA."
Demanda (reviews ≥15),associação moderada,"DADO OBSERVADO: alta 625 (16,8% dos aptos) com 504 com preço (80,6%) vs demais 3085 com 407 (13,2%). Alta tem diária mediana 550 vs demais 600 (alta cobra 50 a menos) e receita 60% mediana 550×216=118.800 vs demais 600×216=129.600? Na verdade alta tem receita ligeiramente menor por diária menor, mas tem volume de alta demanda (151 2q MP, 242 3q MP) que indica liquidez.","RESULTADO: alta demanda não está associada a maior diária, mas a maior probabilidade de ter histórico de preço e a características como Guest Favorite 67,7% vs 10,7% e fotos 24 vs 10.","reviews é proxy acumulado, não ocupação; depende de tempo de anúncio; 40% dos demais têm star 0 e 0 fotos (novos)."
Condomínio,evidência insuficiente,"DADO OBSERVADO: 2q MP 500 (55% pos), 3q MP 600 (48%), 4q MP 942 (41%), 2q Centro 500 (62%), 3q Centro 617 (41% pos, 73% total). Não há padrão claro com receita: 4q MP tem maior condo (942) e maior receita (232k) mas também maior preço; 3q MP condo 600 vs 2q MP 500, diferença pequena. Correlação condo-receita é fraca e confundida com quartos/area.",,"Cobertura 41-62% pos, 30% NA total, 3q Centro median geral 1 inclui zeros (corrigido para 617)."
IPTU,evidência insuficiente,"DADO OBSERVADO: 2q MP 980 (47% pos), 3q MP 1500 (39%), 4q MP 3000 (33%), 2q Centro 1000 (56%), 3q Centro 1300 (35%). IPTU sobe com quartos/area (980→1500→3000) similar a condomínio, mas não explica receita isoladamente.",,"Cobertura 33-56% pos, muitos NA, valores baixos vs preço compra."
Preço por m²,associação moderada,,"RESULTADO CALCULADO: sale_price/usable_area median >0: 2q MP 12.929, 3q MP 14.957 (+15%), 4q MP 18.519 (+24% vs 3q), 2q Centro 13.068, 3q Centro 15.789. Preço/m² mais alto está associado a receita maior, mas também a preço total maior. 4q MP tem maior preço/m² e maior receita, mas ROI menor (4,67% vs 6,20% 2q MP) - preço/m² alto não garante melhor perfil econômico.","Calculado apenas onde 0<area<10000 (exclui 11 zeros e 188000), cobertura 70% area."
Combinação localização+quartos+área,forte evidência de associação,"Padrão repetido: Meia Praia + 2-3q + 85-129m² + diária 460-700 + volume 723-1451 + preço 1,07-1,88M aparece como mais equilibrado. 3q MP (700, 151k/ano, 1704 venda, 1451 Airbnb, 129m²) e 2q MP (460, 99k, 244 venda, 723 Airbnb, 85m²) têm melhor combinação volume-receita-preço. 4q MP (1075, 232k, 188m², 3,6M) tem receita maior mas volume 286 e alta 33 (11,5%) - nicho.",,"Análise por segmento, não por imóvel; sem causalidade, apenas associação."
